id;start_date;end_date;language
1;2024-02-20T01:03:35;2024-02-19T22:53:50;ENGLISH
2;2024-02-19T10:31:10;2024-02-19T19:56:39;FRENCH
3;2024-02-19T20:27:22;2024-02-19T08:32:30;SPANISH
4;2024-02-20T00:58:11;2024-02-19T06:24:30;FRENCH
5;2024-02-20T03:14:34;2024-02-19T11:33:32;ENGLISH
6;2024-02-19T12:45:17;2024-02-20T02:45:37;SPANISH
7;2024-02-19T20:49:05;2024-02-19T07:23:14;FRENCH
8;2024-02-19T11:14:58;2024-02-19T07:50:47;FRENCH
9;2024-02-19T12:06:36;2024-02-19T23:38:02;FRENCH
10;2024-02-19T08:03:34;2024-02-20T01:01:03;FRENCH
