id;street_address;postal_code;city;state_province
1;Secured Program;the program Ghana;基隆 鵬濤市;Soft Colombia
2;installation International generating;Chief;臺東 志澤縣;Gold harness
3;neural;e-commerce Reverse-engineered Directives;彰化 擎宇市;Outdoors
4;pink;SCSI;臺南 鴻濤市;Fuerte Sports
5;17(E.U.A.-17) Frozen Venezuela;analyzer;St. Louis;extend help-desk Cambridgeshire
6;Exclusive cutting-edge;compelling Beauty;志澤縣;Principal mobile
7;infomediaries Guadeloupe Licensed;福建省 JBOD;曉嘯市;Jewelery Bacon
8;Licensed Forward;connect Toys Assurance;臺中 旭堯縣;blockchains
9;Refined Nicaragua synthesize;digital withdrawal;範縣;IB
10;南路;utilisation 路;Warner Robins;Bhutanese extensible
